"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a/ACg8ocJLFBen9slOuJcT-akcOMfRQxzW6Ly3c8apl5AK-Yko=w54-h54-p-rp-mo-ba4-br100","anand kamble","Local Guide · 115 reviews · 236 photos","","","5 months ago","Good education good environment good food great place for students","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVSEFWYt9l0LmFweZGZ4ymYjmHfoiwBf5cW0vJAB79tMkzB=w54-h54-p-rp-mo-br100","Adi Mam","2 reviews · 14 photos","","","a year ago","The best institute I've ever seen. It's filled with trees and a variety of plants that most people do not find in the other artificial or populated regions.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVOr2I68UUCluhO_VdoBCyPCIjZ0CxorgY6zwR4J4wPkD8=w54-h54-p-rp-mo-ba5-br100","Lalit Bandil","Local Guide · 146 reviews · 175 photos","","","5 years ago","I had only 3 days of stay experience in this place. No comments about the education, academic facility and faculties but I must say that The place is haven for engineers. Huge campus, big and so many hostels with good amenities, play …","More","","","","Like","25","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdCj63fugilN2uti2GUtM-D8XM_6I_0GQ8YU98QsDxWMI=w54-h54-p-rp-mo-ba2-br100","Mohammed Abdul Quadeer","Local Guide · 9 reviews","","","a year ago","Best institute with modern learning and excellent staff.
Best campus for physical education and students with whom you can excel in your career","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVYx3KSxViEnRoXXukRS682J0q2tnj4yw0xMBWghVwma3IF=w54-h54-p-rp-mo-br100","Pranav Narang","8 reviews","","","a year ago","The most advanced institute and has created its own benchmark when it comes Academic rigour and placements. The Campus is situated at prime location with lots of greenery.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUcBVZSXssfb-Cor21l22AxobzNw8cYLf05bcWXynsQ9ig=w54-h54-p-rp-mo-br100","Arun Rohilla Goad","26 reviews","","","a year ago","A high-powered committee of the Government of India, headed by Sir Nalini Ranjan Sarkar, a businessman, educationist, industrialist and public figure, recommended in 1946 the establishment of four higher institutes of technology on the …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjULFfESQ1YrYar7FXfBb3cvDrSseFY9gAANQ8tOzb3L5vpV=w54-h54-p-rp-mo-ba6-br100","Azad Sharma","Local Guide · 308 reviews · 1,666 photos","","","a year ago","No doubt IIT Bombay Is One Of The Top Technical Institute of India . They Orgnize Asia Largest Techfest In IIT Bombay And I have been visiting since 4-5 year But this year I had very worst Experiance during workshop Because Neither we learn …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKeIt01MnYVUUCBNmw5P-QM6xEEdMN4yd8TKdP6AGYn=w54-h54-p-rp-mo-br100","Pratik Jagdishbhai Majithia","5 reviews","","","a year ago","One of the best institute for degree in technology and science field in Maharashtra. Well educated faculty and infrastructure. Must recommend.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXvlFw5hPRBBchdo5feBDpf3GGKfujlL40QI7pf2Fpq7Lgz=w54-h54-p-rp-mo-ba4-br100","Ashish Jaiswal","Local Guide · 66 reviews · 52 photos","","","3 years ago","It's a very prestigious technical institute of India. There's no doubt that the future of the children studying here is bright. Talking about the campus, it's spread over 2.2 kilometers.  Teacher's teaching here have unlimited knowledge. Last thing: getting admission here's not so easy. For this you need to work hard:)","","","","","Like","17","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJNzGecTTyAtDh9yIgbEZ_NAHAXbRtLwsm2e_HSwBqf=w54-h54-p-rp-mo-ba4-br100","Sudipta Das","Local Guide · 98 reviews · 51 photos","","","7 months ago","My daughter has done MBA from there..so far is the best educational institution in india","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXtlpIE1V0C3YCWziFpsobYbgaxJeW_nytvJ2lc0Yq1IeI=w54-h54-p-rp-mo-ba5-br100","Vijay Kumar Gupta","Local Guide · 144 reviews · 117 photos","","","a year ago","The college is located in Powai which is a very posh area in Mumbai. Connectivity is very good if you have to travel anywhere in Mumbai, you can choose affordable locals. But we usually find everything inside the campus itself. The annual …","More","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-SbAiab6-uNiXYuKRXsFKwZthV-WkD7M3pg0q4NgtYWM=w54-h54-p-rp-mo-br100","shivam thakur","10 reviews · 2 photos","","","10 months ago","One of the best IIT in city of dreams Mumbai.
Awesome campus & well maintained labs.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVM18vjAw8jd4iQuzsxbZgVXUL5TY55i2_wJJOPtO4ltcg=w54-h54-p-rp-mo-br100","Princy Agarwal","8 reviews","","","a year ago","The Institute is absolutely lovely! The campus is HUGE! It is undoubtedly one of the best college campuses in all of India","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWp_je-bVS4d2h4pDTL0bup2n4dSIKLHiKkFATjcv834uk=w54-h54-p-rp-mo-ba5-br100","Splinters Djschool mumbai","Local Guide · 40 reviews · 859 photos","","","a year ago","campus is good studenrs are polite gentle Nd sincere,,been doing events here from 2005 onwards ,hysteria is one of the greatest college festival...amazing experience....","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKKdp9JuzUaCVODLw6FHU3LJFR88JX6ZL-UWOw1OZHF=w54-h54-p-rp-mo-ba3-br100","Aarav Shah","Local Guide · 45 reviews","","","a year ago","This institute is the dream of most of the students preparing for the JEE examination, that means more than 10lakh students start their preparation for one of the most competitive exams in this world with an aim of getting into this …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUxsll_xOBZscrukAzz-223hw6iKr9tbJNBcMFmeXWPx0o=w54-h54-p-rp-mo-ba2-br100","Prashanth Thank","Local Guide · 14 reviews · 1 photo","","","a year ago","One of the best campus. All the facilities here eco friendly, i hope the institute well provided good  competitor's to the society","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvtmbp0R6T4Z1r5wPj1cFlm0KZKe6jrERvfl0SAy7wqEDu=w54-h54-p-rp-mo-ba4-br100","Anish Acharya","Local Guide · 62 reviews · 379 photos","","","a year ago","With huge spacing, greeneries, playground s, hostels, educational environment, comfortable ambience with calm environment with every necessities in hand waving distance, this place is truly a world class educational hub.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJK6Ctwzfhk6XdcyQB7UlP8waDZmiqKHiVdOkHBCXzi=w54-h54-p-rp-mo-ba2-br100","Govind Lohar","Local Guide · 8 reviews · 16 photos","","","a year ago","Amazing and huge campus ,one should carry a cycle to roam through campus.
10 min from station through bus (5rupees).
Have fun!!!","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWS3nsuxjW0VhHgQH8mZEzaY5yVqm66lGIOsSY5nFDldW-W=w54-h54-p-rp-mo-ba5-br100","Aarya Desai","Local Guide · 131 reviews · 496 photos","","","a year ago","IIT powai fest Mood Indigo
Not that aesthetic decor
But concerts were nice and free …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUJylUHBgtiYW1xiDg-NIhhTvayndqIFwIy_Fj5TiBx6b-g=w54-h54-p-rp-mo-ba2-br100","Anurag Mishra","Local Guide · 10 reviews · 29 photos","","","a year ago","IIT Bombay has a great campus area with a lush greenery forest aside and a blue watery pond besides very peaceful campus.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVezOUQWe0ZdEVd0k-ozTaa-4wpLEvbrwJDwHXvgXjuA9Y=w54-h54-p-rp-mo-ba4-br100","Roopesh T","Local Guide · 12 reviews · 218 photos","","","7 months ago","Really nice campus and lots of places to see within there and all in all best place ever","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJoenztKmRnuwf7pv6iMF6F_yX1ThuT5ruWGzXPNSJgvCc=w54-h54-p-rp-mo-br100","shri nirkar","5 reviews","","","a year ago","IIT Bombay - One of the best prestigeous College across the world. Love this place...Amazing campus. Awesome vibe...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVIP1vQW0Xz7CvdtUfKBA8qttgmydrIS3jgs3JBbs_Hg1EQ=w54-h54-p-rp-mo-ba8-br100","Dharamveer Dheer","Local Guide · 1,083 reviews · 7,521 photos","","","2 months ago","Best tech school in the country.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVxzdRpCSN9WjtCVppijRmOSaEd4ka7l7Hn4ox1CZgkG3g=w54-h54-p-rp-mo-br100","Sahil Satish Pandit","2 reviews","","","a year ago","The Institute is absolutely lovely! The campus is HUGE! It is undoubtedly one of the best college campuses in all of India","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX5KdMglax1bj-GKBr7iiWNG81J-_OJLhfYejsCKqYalMT1=w54-h54-p-rp-mo-br100","Sarika Padwal","1 review","","","3 weeks ago","Can I get addmission in 11th ??","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUGbCJ1K4d_Vbod8oPBG2WFEUk3WZ4cAlVan2JxioNBK64=w54-h54-p-rp-mo-ba5-br100","Vibhu","Local Guide · 118 reviews · 800 photos","","","a year ago","Very Big campus","","","+5","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVtQGS2yNvG3jT-PZ1RQt2KkkKn60Fuo9yiTMZla2CYJGh7=w54-h54-p-rp-mo-ba7-br100","Ketan Mhetre","Local Guide · 68 reviews · 12,054 photos","","","6 years ago","It's engineering heaven!","","","+9","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXx4nycWAK2sTW7wzdAgQHvo-wiCG4xLLTc5LMweeXymHgm=w54-h54-p-rp-mo-ba6-br100","Varun Poladiya","Local Guide · 321 reviews · 5,696 photos","","","3 years ago","Didn't study there but lived there for a few days. The campus is vast with a lot of greenery. There have been reports of sightings of wild animals too at night but that's because of it's proximity to the forest area. …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNY-Xu11PnSQ0wAucIMPkS9zmacPBQNQxNDkjVv88WXHk=w54-h54-p-rp-mo-ba4-br100","Harshit Jain","Local Guide · 162 reviews · 62 photos","","","7 months ago","It's one of the greenest college campuses in India.

The place is just awesome","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVfm1WmYoDEHaXIfpCMtzqTyZAnMc6Di7__Qe2u3aefLksa=w54-h54-p-rp-mo-ba6-br100","Saten Chahar","Local Guide · 355 reviews · 1,113 photos","","","a year ago","This is One of India's best institute of technology.. it's situated near to powai Lake in beautifull area.. IIT has a very big campus.. Kanjur marg local station is nearby..","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1U32GpaugOY9AWgWYwsabqV8HM37dOp18xUTwEiTsVtQ=w54-h54-p-rp-mo-ba6-br100","Achyuthan J.R.","Local Guide · 205 reviews · 2,415 photos","","","7 years ago","Amazing place. While I did study here, which was a wonderful experience, the best experience I have had is in extra-curricular and co-curricular activities here. Very good sports facilities. Hostels might be considered to have small rooms, but it is lots of fun!","","","","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmLXqLcQEYvefM7JUvIOMs-4OmC_TazvVSgsLR35ricQ=w54-h54-p-rp-mo-br100","Harsh Soni","1 review","","","4 months ago","It is a very nice iit institution","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKQYk6lQDmxhzttSqp858HCC5UYLIuqOugxb9nfmjApZw=w54-h54-p-rp-mo-ba4-br100","R D","Local Guide · 124 reviews · 339 photos","","","3 years ago","Indian Institute of Technology (IIT) Bombay is a great technology institution. Very experienced professors. Dream for many JEE students. Awesome location, one side of powai lack inside campus. Campus is very prominent and safe. Busy area outside campus.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUyCZbPsONYUU4NwoEMSu531ruQGAmQG1zDMBSd6ndUUx9z=w54-h54-p-rp-mo-ba5-br100","Harshala Sandip Naik","Local Guide · 128 reviews · 242 photos","","","a year ago","This place near to the kanjurmarg station. Here to reach IIT Bus available. Bus no 602 is available from West site of kanjurmarg station.
From bus it take hardly 7 min to reach main gate of IIT. I come here for …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViipILzuUwBwmoSHxgyqBXVUWdcziL6Dy3SL4yQP2lre4=w54-h54-p-rp-mo-br100","ninad gandhi","13 reviews · 10 photos","","","a year ago","I am a student here, ofcourse I love the place! If you come to campus, go and visit cafe 92, talk to students. Everyone is friendly and the campus has a vibe","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI__2sUFBvCkX-T9IOcVnQ6v5VGjmmVMJEImQJXj87u=w54-h54-p-rp-mo-ba3-br100","Deepak Maheshwari","Local Guide · 60 reviews","","","4 months ago","Dream place to secure admission for Engineering Students..","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWi7MKBWIhnYACtc4OZaxBW11gwqlP77Y_tzTX1YNKRL28=w54-h54-p-rp-mo-ba3-br100","Sarwan kumar Verma Bharti","Local Guide · 22 reviews · 40 photos","","","a year ago","One of the best engeneering college of not only India but all over the world , best environment and best placement and so on...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUNbFL4WNNeit99Ip14viq0U5QrX4CydDxeBRcsoX-kOing=w54-h54-p-rp-mo-br100","Neha Dhalk","3 reviews","","","2 weeks ago","One of the best campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVM3b1MqcAY4W3Z8x3JVyyvsHnrwDRTSmhIx-OeN4qGNA=w54-h54-p-rp-mo-ba3-br100","Najeeb Sayyed","Local Guide · 6 reviews","","","a year ago","Every student who has taken science in 11th and wants to become an engineer, then his first choice is IIT  Bombay.
This is best engineering institute in India.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUjgbdZIveMc4yccZ0e8LlsRjTIX8YwNy3PVUWXck0tAiaLGy0=w54-h54-p-rp-mo-br100","Parashuram Joger","18 reviews","","","a year ago","One of the oldest institute in India, founded in 1958. Facilitate with individual building for each discipline.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbz8ArxS1apJNlfxbnWEs94SacZztK5AaHZoQS-0atnQgoij3v=w54-h54-p-rp-mo-ba4-br100","manish kumar nayak","Local Guide · 118 reviews · 96 photos","","","7 years ago","No better place to study in India. Great location, awesome faculty and nice research. Although some labs need seriius upgrades. …","More","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVPejF2PIE75YUyqO0ofMFJoKbSRig-5Hxe_LwuwnEefT7CQWxtVA=w54-h54-p-rp-mo-ba5-br100","Andagi Irshad Ahmed","Local Guide · 127 reviews · 383 photos","","","6 years ago","It's a dream college for any engineering student. We were from an average college, So we wanted to see how IIT looks like. So we went for an event here which is held once in a year called Techfest. Every student is invited from other …","More","","","","Like","17","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK_F6vbw_a9NREjIVa1WDMTJvCh6iU7PbAQ9Kd1xN1aBV0jQ7s=w54-h54-p-rp-mo-ba5-br100","Saurabh Kumar sah","Local Guide · 150 reviews · 215 photos","","","3 years ago","Best engineering institute of India. Dream of every Jee aspirants. Beautiful place nearby Powai lake . Filled with positive energy. Wish to be there. World class institute of technology. One of the oldest Indian institute of technology.IIT …","More","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEYFsnWupv5QuQmh0xSdEawFg9XHCtCvczhyPdiyQDxkSiMgKd=w54-h54-p-rp-mo-ba3-br100","Ashok Gopalakrishnan","Local Guide · 36 reviews · 79 photos","","","8 years ago","It was the greatest experience that one could experience after completing a course of study in an institution like IIT Bombay. The staff, ambiance, hostel life, friends and most important the encouragement that a student gets cannot be …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU6qOdOrL0UIskfUxu3RseNtORIB9uIMhQceyYu7zWQ9q5AIpzWEg=w54-h54-p-rp-mo-ba4-br100","Krishankant Soni","Local Guide · 120 reviews · 303 photos","","","7 years ago","One of the best Institute of India.
In the middle of the commercial capital of India.
One of the many reasons is the geographical position of this Institute that many …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKC-iaA0HZDlZqWG2k07fIwhzHZu9lm_9_F1qYckrEZNu_eJQ=w54-h54-p-rp-mo-ba3-br100","Yash.V 007","Local Guide · 48 reviews · 8 photos","","","3 years ago","An old IIT and I think its the best in India like IIT Delhi , its techfest is well-known .The campus is so big that you would get tired by walking till the end of the campus.Only the most hardworking and brilliant students get a chance to study here","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUd6xyCBfsFDvlbjqzY3I5_NwbjDFWcjYTQZaPTgMTDHqnV5Sm0=w54-h54-p-rp-mo-ba3-br100","Rafik Shaikh","Local Guide · 31 reviews","","","a year ago","It has a beautiful campus and it's one of the old institute in india. Best institute for engineers.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDVDT_r5N5sm-L3wgBgC6m5rJ1KSbCqTdoKr4I6NCNGXVnh44_=w54-h54-p-rp-mo-ba3-br100","Helly Malviya","Local Guide · 29 reviews","","","a year ago","My first ever dramatics club trip from undergraduation. IIT Bombay is beautiful and I enjoyed staying in their hostels and overall campus.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWHSL8U_xG1omxf7zh1dao54EI1HeedU0-fVIi9zhKvkMhCtQcU=w54-h54-p-rp-mo-br100","Ravindra Hiwale","2 reviews","","","2 months ago","IT was amazing experience at IIT Bombay","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVcU2OmXEVQ4DJN5MV_eMg5yjAB3NGZdPUUYJV9Nw8vg5N6=w54-h54-p-rp-mo-ba6-br100","Darshan Gajara","Local Guide · 502 reviews · 1,475 photos","","","7 years ago","One of the best technology institutes in the world.

This entire place is like a different township altogether. Have been visiting …","More","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXdMPrPWVOlxXonLRx8hlJhKV5pPlD6HKv9SJ7jXyo0j1g=w54-h54-p-rp-mo-ba4-br100","Saheen Shehnaz","Local Guide · 60 reviews · 147 photos","","","5 years ago","The place is of course of great importance. The students, faculty all. The place overall is very good. We went out for an evening stroll and had dinner in hostel 10. The canteens were open even at 1 am in the morning. We liked the place.","","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXanmRF5VYxgvX1n6xUAMEMM7nYhDPW44b-jB0m2ZEcRLLo=w54-h54-p-rp-mo-ba4-br100","Rishabh Shukla","Local Guide · 152 reviews · 164 photos","","","3 years ago","IIT Bombay was founded in 1958. In 1961, the Parliament decreed IITs as Institutes of National Importance. A committee formed by the Government of India recommended the establishment of four higher institutes of technology to set the …","More","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX1NkyQj4R3IxjhnHhkxsrpVyOcq-Urua_nLUBMoAPStQ=w54-h54-p-rp-mo-ba8-br100","Nilesh Nag","Local Guide · 649 reviews · 1,256 photos","","","7 years ago","One of the best technical institutes in India having a lakeside view. Also having an upscale residential and business park nearby.. the faculty is just superb and students here are the best intellectual ones..","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIsxHcBPzvvT1RIyJ9UoHKcNwHIjLxolPWMxP_27wAM=w54-h54-p-rp-mo-ba4-br100","ashish baranwal","Local Guide · 60 reviews · 40 photos","","","a year ago","Within city in nature's lap lake, hills, forest all available in a single place with world class education and research facilities","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVG8E77IjsXSlWtcOKqZYSo-nyPfFQisRFR7lGZmm79Yu8=w54-h54-p-rp-mo-br100","Krazy Chouhan","2 reviews · 6 photos","","","3 weeks ago","Nice collage and best placement","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZdXCygTUlfU5JjAf7Ic_OZuWNhgbw_lZ9nkhotskq4Iw=w54-h54-p-rp-mo-ba5-br100","RAHUL HAZARI","Local Guide · 274 reviews · 607 photos","","","4 years ago","It's beautiful, exerts lots of business, places ppl at good position, several opportunities regarding different departments. Each dept has elegant professors. Everything is beautiful but with little more prssr than other institutions.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUcB5KOVZdfrpG5_dWVvMo4gyQ0PiGMOkB4y5GB0CSXMGI=w54-h54-p-rp-mo-ba5-br100","Shihab Khan","Local Guide · 248 reviews · 265 photos","","","7 years ago","If the IITs were a country, IIT Bombay would be the USA. Everyone wants to get in, but a only a few handful manage to get in. …","More","","","","Like","20","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUeo6EutpbqSiZyUdBlH3nN7ufiNXwWeRWXhvf0omQXXF_B=w54-h54-p-rp-mo-ba4-br100","Nilesh Dhanawale","Local Guide · 209 reviews · 78 photos","","","a year ago","Top ranked institute in all IITs. Surrounding is quite beautiful and Architecture too.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXp4O4us7C6p1s0-x9HA6loriZbQX2haKios_pQvlrG6I6B=w54-h54-p-rp-mo-ba5-br100","Swapnil Dabade","Local Guide · 137 reviews · 820 photos","","","6 years ago","One of the respectful area in country for study. IIT Bombay is known for its quality education. It has spread over a very large area in Mumbai. Good hostels facility and mess too. Canteen has very chip rates with best quality food. You will get food here till 3 am.","","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLX_DLrr4yh4ML0FtWhvT1jc_bb8_aQfjmY6T-DcPD7=w54-h54-p-rp-mo-ba3-br100","Diya Potdar","Local Guide · 35 reviews · 2 photos","","","4 months ago","It is a dream college of every jee student.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVcLblHk8YBK676LVc1cnmyLXZQzdyDP3wDdVmf5lkAPObG=w54-h54-p-rp-mo-ba6-br100","Sudesh A.","Local Guide · 193 reviews · 1,307 photos","","","7 years ago","It's one of the best engineering institutions of the nation with top-ranked students' first choice. The institution also hosts Techfest, the largest tech festival of Asia, and Mood Indigo, the largest cult festival of Asia. …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJLIOcCCwf9eP31S-1b7z8GwzyK2n2LIppklqgkgxnm=w54-h54-p-rp-mo-ba5-br100","Devendra Govil","Local Guide · 120 reviews · 927 photos","","","5 years ago","In what is India's best college, this is a heaven both literally and figuratively. It is one of the few colleges with a campus right in the heart of Mumbai covering acres upon acres. It is situated next to a lake and also has its own small …","More","","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI91G_gbuIwr35IeNsqhSQXzeyCviLnsnrKi8PfBLL2=w54-h54-p-rp-mo-ba4-br100","Ganesh Chelluboyina","Local Guide · 32 reviews · 143 photos","","","7 years ago","Apart from being one of the best places in India to get a higher education, the campus is one-of-a-kind as being a nature preserve unto itself. With laboratories of national importance hidden in narrow, leafy alleys, world-class facilities and a vibrant student life, this place will never fail to awe.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUQkhVZjRyW7nVopXUG9YQ-bqNwfiazzCe66nGQloU-RFQ=w54-h54-p-rp-mo-br100","AR AMAN","88 reviews","","","3 months ago","The dream was not come true","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKTritgth5wfpnT-uGZX-z-Hcxi-GLapsrEGtkxFJ56=w54-h54-p-rp-mo-br100","Satya Pilli","9 reviews","","","a year ago","This is one of the best enginnering institute of India..Top most reputed institute..There are many trees within this campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUczbboJ3aefAzsSasLNWo0GhU0tANyrfQ5oFID_xtr4Alw=w54-h54-p-rp-mo-ba5-br100","satyam saurabh","Local Guide · 70 reviews · 1,450 photos","","","6 years ago","The name IIT Bombay is well known institute not only in India but also in world. This is one of the leading and dominant institute for technology. This is really a awesome place and well managed place. It is  strict for entry.   Lots of funding agency funded there due to only brand but it's output is per input.","","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWlcSh5I6ALlp-L1Fd_AlX0BD7za9C3Gq_QvoYNgNcTO78b=w54-h54-p-rp-mo-ba6-br100","Vivek Khandelwal","Local Guide · 162 reviews · 6,161 photos","","","5 years ago","It was fantastic to visit the IIT Bombay. The campus is filled with lush green trees and the environment is calm and serene. The walks at the campus will give views of different hostels titled differently alongwith a customised mess, …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX7NSj7c9dKjaT9N7wlN5iM9y92b2ajiOgQNwBvjnk0ZI8=w54-h54-p-rp-mo-br100","Suman Rao","4 reviews","","","6 years ago","1. The landscape is a beauty. It does not belong to the overcrowded urban jungle that Mumbai is. The quality of the air is remarkably fresh. The potential encounter with an odd leopard or two makes for quite some excitement. The lakes have …","More","","","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUhIOoRuv7_n3tBtpkvnRX2pr_-WRJwDWz34uOiWidSD2J9=w54-h54-p-rp-mo-ba6-br100","Lighton Phiri","Local Guide · 131 reviews · 6,864 photos","","","6 years ago","I visited IIT Bombay for the first time in December 2016, while attending an academic conference. Very nice campus and, well taken care of. I thought it strange that there were stray dogs roaming free on campus though :)","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX-DVwwHf3D41Ec7mmCj-H0FN0eBsO18aN04rmSY-10-3yO=w54-h54-p-rp-mo-ba5-br100","Manoj Kumar Singh Chouhan","Local Guide · 160 reviews · 94 photos","","","5 years ago","Visited and stayed here during PhD interview sessions at DBS, TIFR. Lot of students, hostel rooms are small but enough for single person. The institute stands among  the best engineering institutes in india. Attracting best minds to get enrolled here. There is a hospital facility inside the campus. Bus service in the campus is good.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWWgTfd-48sUsjDvgkvPBhbmn5oMgxS5SqQ97IET-wAJ3qm=w54-h54-p-rp-mo-br100","Tuba Butool","22 reviews","","","a year ago","Prestigious Technical Institution of India.
Best teachers, best campus, best atmosphere, best hostels, best food etc... Everything is best here.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1dlLEtqnm5heGl47y1iflm-eT-nZ4ZiCo_6UMvH36Ol3S=w54-h54-p-rp-mo-ba6-br100","Snehal Doshi","Local Guide · 894 reviews · 2,417 photos","","","4 years ago","The best of the IITs and the campus is so peaceful and amongst natural surroundings.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXBkJ6cXpHlP-FscD-dx_GX5U9EbMgXu2SpEDthe2XPGA=w54-h54-p-rp-mo-br100","Divya rani","3 reviews","","","a year ago","Best campus with experienced faculty with expertise service staff and all round good facilities for students","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWewMdzmomE8sb8dcdRLmPnN_MFWjNkpaiumSIQYINCPQc=w54-h54-p-rp-mo-ba4-br100","Achyutanand Pandey","Local Guide · 39 reviews · 219 photos","","","6 months ago","Best engineering institute in India
Ranking No.1","","","","","","","","Share","",""
